TechCorp,HealthPlus,FinBank,RetailHub,AutoWorks,GreenEnergy,Foodies,EduTech,TravelCo,BioLife
527.4444936710449,813.1083303531597,659.4365521806656,690.710455884601,365.83438980924313,758.359545464501,576.8810503577596,578.9333342116547,993.6298646696,220.33876584472623
549.0170426723016,819.4551681128861,683.2949503894661,658.9415273514662,364.4899612913505,767.9157405251979,555.9220518867251,584.2705002353778,1019.6473710589914,230.13466840134697
551.5973757159193,832.6680715813125,695.7026424391116,644.0621703568297,360.76257319368955,758.8384986328641,546.875991711653,574.8517243131073,1056.5880565603334,224.02764528364207
565.449504971494,801.7228248788999,680.5819076706301,621.121173454134,359.215731815043,724.3589768119714,541.7871402198296,585.0260033981879,1078.6659638037395,225.6369435007742
562.9762858343981,813.7679510330911,677.2504081823072,627.2961867163782,356.26895110231817,722.1338926526436,527.2758734831374,609.5612294711365,1035.124868107855,231.5030254111325
579.796747173219,828.0794996986028,673.5203565194108,608.7071592811606,363.23725730955096,737.9817364852205,509.8714155710292,591.7606764651063,1018.5706266231373,229.59449185303794
588.54028956095,786.9917057705012,673.8952199367727,636.7805576977315,357.8285239732186,728.6341482908665,520.9289529943309,619.8135772431632,1065.0721433371364,235.39582147656148
607.2638431346055,806.9339302409104,644.590092181831,627.6278651339462,345.2897391306755,725.242321896549,544.0532136333375,616.941530231839,1096.5019130659018,226.81727144496787
578.9774519707902,824.0431502205303,612.5657657792297,652.9931075636122,335.14856491799446,730.1752135249623,530.7700499305837,626.245121491203,1060.5341005965422,226.06184656961693
572.8468950797477,816.0342995191681,628.1441527287235,633.1075981393334,335.32331918443236,747.894175895637,519.2183810256765,644.9109690990265,1026.285849192733,228.3452636340623
591.3062105131044,841.8409067148979,636.6844605983065,605.7468919727695,331.19190252994497,727.6172031685456,544.1036560059401,675.5067246055894,992.8587042135584,226.96440814134982
614.7034991302265,850.9977387547267,614.6936060423728,610.2249437888321,346.5097239621829,698.6551014615166,521.6414395615001,642.6949025472351,973.4830249167086,235.4346568996934
587.038864573419,892.887582597059,597.2035893553013,590.7361231908577,349.66150184220504,729.0109340443823,502.61154430861217,627.6764905957511,957.0914799982919,229.58087216502548
565.6416373281164,900.0891844057857,609.2402679707396,611.0407262518713,353.33652964476926,749.2765119965928,490.6326948800517,657.1930509568185,968.010365631782,230.20986916579264
586.4506791998884,887.94123108235,605.5410338540689,624.7920530890716,369.2649602949794,784.2287826406548,482.03174244884315,665.5175514527411,997.9384504293162,233.25207782473524
563.7075689455024,848.7180786510546,629.7793935839308,595.9604776257206,381.64361224777423,783.9291886529792,470.5089873009269,692.0574093466076,996.8361459492874,235.64160320671823
585.9494908137757,889.5246042115634,647.6556943811272,575.6315713583613,374.4123333543719,760.1669887117754,476.7328764798303,683.5922876441628,955.4669559624506,238.96442088529707
571.2379794795131,915.3446853424381,675.0382228849005,570.6138651716088,378.77093540913177,757.8339556539873,493.1415244970746,653.1200413844433,911.353007449556,233.37972050420643
557.6462143038002,951.6397986430077,667.8138388265694,583.1440298755607,368.9545260187274,742.1818243246904,512.9618007091806,622.439737643157,895.3653591991513,243.54726187486062
535.007104494665,911.5301246968197,636.9551037902585,598.9862554183055,374.8368235176302,748.3788531829416,488.62897575362393,639.4434193247923,896.2982667618301,233.79020362784357
537.686757147511,875.1118868827969,634.3786109026247,572.3028433492873,390.2259772507871,729.342298540433,476.330906346779,612.9769228956717,937.2035711097876,232.37774441505525
518.7069946838749,881.8939162606025,617.3870271701678,557.0990782694128,376.44936020222855,701.3771844268601,484.6753771451825,612.6089279317836,908.3833855251276,231.90145116942463
544.0943983320584,851.5137111186572,627.3403356780547,569.8526024263977,359.43159535830205,678.7376865224246,468.1948079521718,622.6944507818386,902.7692140840148,230.60743110975952
552.4498051735432,835.4005917318286,619.4877305123348,574.7315336112713,366.2752377094725,707.2228882808306,491.5078235186676,605.0846211502183,941.7908734259086,227.10348718410847
557.3169872968393,839.1030443016153,610.973052748333,576.3537197879546,361.5154392383556,722.9591809574192,501.2244091875221,629.500000095716,987.847579109445,223.22545664175624
570.4829394753363,858.1389033236266,633.0103607543416,587.7859219083152,365.3206374003774,757.6498916157053,518.7478745122003,629.4059514677057,968.1925457459207,220.56829805744403
593.3932360201511,884.2518268371018,637.5930316495227,591.135744601967,362.94880709660265,762.2987800732427,528.7830150075855,610.2825562133779,961.7094213699071,220.14620077772878
591.0387911136926,911.9327097713982,646.8644519581183,617.153915402961,356.93483159137037,736.2961432300957,549.0014510903853,632.045585138621,960.0764521168655,211.8590085735404
573.2873375814306,954.2092881138766,634.9989549878926,634.4411528836094,347.5670181819139,763.800742971521,572.1216505197368,603.4754513290189,947.6942299854626,207.49621538900354
591.7564334635955,995.0337846250011,633.4439474350584,664.8161488814058,348.66001602506924,801.8048620508509,589.5897387166036,588.4051524809573,948.3477320814759,214.86202733945038
596.0881701279401,1004.9343249327977,639.7596037560747,682.684195071589,341.21071030474224,781.3676961443771,599.9874359501181,577.6556019911205,933.4319394938699,217.8430424113457
